"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9838","@smoke End to End Flow via custom created fixture","chromium","2026-05-30","passed","2026-05-30","","fixtureWithInitializedPOMobjects.spec.js","",""
"","1121","Intercepting the request even before the NW call is made to the server","chromium","2026-05-30","passed","2026-05-30","","routeInterceptRequest.spec.js","",""
"","2426","Response Intercept","chromium","2026-05-30","passed","2026-05-30","","routeInterceptResponse.spec.js","",""
"","6352","Special Locators available in Playwright","chromium","2026-05-30","passed","2026-05-30","","testLocators.spec.js","",""
"","2118","End to End Flow","chromium","2026-05-30","passed","2026-05-30","","apiPrac.spec.js","",""
"","4541","Excel E2E test","chromium","2026-05-30","passed","2026-05-30","","excelTest.spec.js","",""
"","6889","End to End Flow for ZARA COAT 3","chromium","2026-05-30","passed","2026-05-30","","pomPracticeTest.spec.js","",""
"","8490","This is my first test","chromium","2026-05-30","passed","2026-05-30","","uiAutomation.spec.js","",""
"","9591","End to End Flow","chromium","2026-05-30","passed","2026-05-30","","test-2.spec.js","",""
"","6500","End to End Flow","chromium","2026-05-30","passed","2026-05-30","","storageState.spec.js","",""
"","9314","End to End Flow via custom created fixture","chromium","2026-05-30","passed","2026-05-30","","testFixture.spec.js","",""
"","11858","End to End Flow for ADIDAS ORIGINAL","chromium","2026-05-30","passed","2026-05-30","","pomPracticeTest.spec.js","",""
"","3767","test","chromium","2026-05-30","passed","2026-05-30","","test-1.spec.ts","",""
"","5106","iFrame test","chromium","2026-05-30","passed","2026-05-30","","popupFrame.spec.js","",""
